completed: 95700, symbols: ZBH, ZION
bh: 1.067911, wave: 1.075411, delta: -0.007499

delta returns:
CTAS, VRTX, -0.405779
 CMG, MSFT, -0.405539
 CMG,  TGT, -0.405094
NFLX,  PKI, -0.404944
AMAT, KLAC, -0.404848
 DHI, QCOM, -0.404788
 BBY,   MA, -0.404025
  CF,  THC, -0.403856
AMAT,  NKE, -0.403844
 ABT, NFLX, -0.403827
ADSK, CTAS, -0.403796
EQIX,  URI, -0.403738
 NRG,  PHM, -0.403337
 CSX, LRCX, -0.403076
AMZN,  CRM, -0.402326
LRCX,  SHW, -0.402134
 CRM,  DHI, -0.401669
  MU, TROW, -0.401325
QCOM, SWKS, -0.401288
TROW,  URI, -0.400615
 DHI,  TGT, -0.400445
 BBY,  CRM, -0.400341
SWKS, VRTX, -0.400151
AMAT,  SHW, -0.400113
 CMG,  PHM, -0.399806
 CMG,  LLY, -0.398764
ADBE,  DHI, -0.398613
LRCX,  ZTS, -0.397932
  MU, TSCO, -0.397744
MSFT, VRTX, -0.397423
ANTM,  THC, -0.397166
 URI,  XYL, -0.397013
COST, QCOM, -0.396943
  MU,  ROP, -0.396790
 DHR,  URI, -0.395389
EQIX,   MU, -0.395209
FSLR,  XYL, -0.394687
 LOW,  PHM, -0.394665
AMAT,  BBY, -0.394503
MCHP,  THC, -0.394364
 NKE, VRTX, -0.394026
 PHM, SWKS, -0.393513
MCHP, XLNX, -0.393432
  DG, QRVO, -0.393233
ADSK,  ZTS, -0.393114
EBAY, QCOM, -0.393088
 APH, QCOM, -0.393000
  MU,  UNH, -0.392421
 DHI,  KSU, -0.392398
  MS,  URI, -0.392343
GRMN, LRCX, -0.391710
 DTE,  THC, -0.391704
INTU,  NRG, -0.391633
ADSK,  NKE, -0.391371
   A, QRVO, -0.391355
 AME,   MU, -0.391327
 CMG,  ZTS, -0.391019
 AVY,   MU, -0.390883
AMAT, SWKS, -0.390713
 DRI,  ETN, -0.390674
  EA,  URI, -0.390644
 MRK,  THC, -0.390377
GRMN, VRTX, -0.390294
  EL, QRVO, -0.389975
 NRG,  TGT, -0.389670
 DHI, KLAC, -0.389523
  GS,  THC, -0.389383
 DHI, SWKS, -0.389229
 BBY,  DHI, -0.388845
 PEP,  THC, -0.388683
ADBE,  TMO, -0.388514
  DG, LRCX, -0.388231
  MU, VRSN, -0.388211
 DHI, INTU, -0.388135
  BA, QCOM, -0.388114
LRCX,  TXN, -0.388049
 KSS,  THC, -0.387721
 MCO, VRTX, -0.387665
GOOG,   MU, -0.387092
  CF, QCOM, -0.386888
 THC,    V, -0.386489
CTAS,  DHI, -0.386070
AMAT,   EL, -0.386050
 CMG,  KSU, -0.385415
 AMT, FSLR, -0.384937
AMZN,  DHI, -0.384921
 NKE, NVDA, -0.384757
  DE, XLNX, -0.384628
 PHM,  TGT, -0.384532
 PHM,  STX, -0.384463
DLTR,  THC, -0.384414
 CMG, CTAS, -0.384321
  MU,  PWR, -0.384225
 DVA, QCOM, -0.383553
FSLR,  MSI, -0.383533
 HCA, NFLX, -0.383019
 PPG,  THC, -0.382956
ADSK, KLAC, -0.382766
 JCI,  THC, -0.382486
GOOG,   MU, -0.382360
AMAT,   DG, -0.382282
 KSU, NVDA, -0.382102
MNST,  URI, -0.382036
 HCA, QCOM, -0.381844
  MU,  XYL, -0.381659
GRMN, QRVO, -0.381493
   A, LRCX, -0.381468
ADSK,  MCO, -0.381283
 SHW, VRTX, -0.381262
  CF, WYNN, -0.380681
   A, AMAT, -0.380311
  MS,   MU, -0.379994
  GM,  URI, -0.379542
KLAC,  NRG, -0.379165
  BA,  URI, -0.379009
 MSI,  URI, -0.379003
 PLD,  URI, -0.378961
QCOM,  UNP, -0.378468
 HUM,   MU, -0.378383
MCHP, QCOM, -0.378210
ADSK,  SHW, -0.378142
NTAP, QCOM, -0.378078
ADBE, INTU, -0.378036
 CSX, QRVO, -0.377372
 AEP,  THC, -0.376713
ABBV, QCOM, -0.376667
 AMT,  URI, -0.376606
NVDA,  SHW, -0.376230
VRTX,  ZTS, -0.376087
AMAT, QCOM, -0.375953
  EL,   MA, -0.375740
 PGR, VRTX, -0.375395
FSLR, MNST, -0.375257
FSLR,  PLD, -0.375238
 KSU,  PHM, -0.375037
  AN,  URI, -0.374983
  MU,  PLD, -0.374574
 MCO, NVDA, -0.374527
 CMG,  NKE, -0.374361
  IR,  MPC, -0.374155
  BA,   MU, -0.374027
  RL,  THC, -0.373763
ADSK,  BBY, -0.373497
  DE,  THC, -0.373314
 ACN,  URI, -0.372909
 NRG,  TMO, -0.372686
 ETN,    V, -0.372679
FSLR,   HD, -0.372606
  DG, VRTX, -0.372386
 AMT,   MU, -0.372274
 HPQ, QCOM, -0.371691
 TXN, VRTX, -0.371537
 DHR, KLAC, -0.371407
 MAR, QCOM, -0.371233
 TEL,  URI, -0.371219
AMAT, GRMN, -0.370910
CTAS,  NRG, -0.370817
ADSK, SWKS, -0.370690
 LLY,  NRG, -0.370611
 MAS, QCOM, -0.370440
 DHI,  MCO, -0.369955
 KSU,  NRG, -0.369942
 BBY,  NRG, -0.369929
  EA, FSLR, -0.369831
 ACN, FSLR, -0.369817
QRVO,  TXN, -0.369807
 MAR,  URI, -0.369626
CTAS,  PHM, -0.369563
FSLR,   MS, -0.369209
MSFT,  PHM, -0.368987
  IR,  LYB, -0.368795
 MSI,   MU, -0.368789
 LYB, WYNN, -0.368597
 DHI,  NKE, -0.368140
FSLR, NFLX, -0.368038
  MA, MSFT, -0.368008
 AES,  BBY, -0.367942
  PH, QCOM, -0.367721
 PGR, QRVO, -0.367554
 HCA, XLNX, -0.367534
   A, VRTX, -0.367512
AMAT,  CSX, -0.367367
 KSU, QCOM, -0.366732
 EMR,  THC, -0.366488
  EL, VRTX, -0.366433
  MU,  STX, -0.366333
 CSX, VRTX, -0.365976
  CI,  URI, -0.365850
AMZN,  TMO, -0.365836
 GWW,  URI, -0.365790
ADSK,   DG, -0.365743
  GM,   MU, -0.365643
 CRM,   EL, -0.365480
 ACN,   MU, -0.364920
ANTM, QCOM, -0.364914
  HD,  URI, -0.364906
 ADI,  PHM, -0.364827
 DHR, LRCX, -0.364664
AMAT,  PGR, -0.364625
 BBY,   EL, -0.364524
 NRG, QCOM, -0.364372
 HUM,  PHM, -0.364258
 DHI,  LLY, -0.364254
 KMX,  URI, -0.364087
  DE, MCHP, -0.364007
  MU,  TEL, -0.363877
 CRM, INTU, -0.363868
 DHI,  TMO, -0.363712
NDAQ,  URI, -0.363633
 THC,  VLO, -0.363606
 CMG,  MCO, -0.363249
   A, ADSK, -0.363236
 PGR,  PHM, -0.363235
 APD,  URI, -0.363142
 MPC, WYNN, -0.363111
  MA, XLNX, -0.363092
 DHI,  SHW, -0.362893
MSFT,  NRG, -0.362850
 AES,   MA, -0.362590
 CMG,  SHW, -0.362346
 CRM,  TGT, -0.361945
QCOM, SBUX, -0.361768
FSLR, NDAQ, -0.361735
 HCA, MCHP, -0.361648
 UNH,  URI, -0.361622
 CRM, MSFT, -0.361580
 MAR,   MU, -0.361256
  EA,   MU, -0.361227
  FB,   MU, -0.360704
  DE,   MA, -0.360643
 BBY, LRCX, -0.360596
 BBY, SWKS, -0.360548
 BBY,  LOW, -0.360524
ADSK,   EL, -0.360477
 AMP,  PHM, -0.360421
ADSK, GRMN, -0.360341
NVDA,  PGR, -0.360315
COST,   MU, -0.360163
 THC,  TRV, -0.359009
